workload,region,requirement,value,unit,evidence,note
rdt,repeated_head,macs_per_replan,197330206720.0,MAC,recovered_from_ir,macs_per_step x K=5
rdt,repeated_head,resident_capacity_required,393216000.0,B,recovered_from_ir,action-head weights (f32); resident set to avoid reloads
rdt,repeated_head,weight_reload_bytes_per_replan,1966080000.0,B,recovered_from_ir,naive reload: weight_bytes x K=5
rdt,repeated_head,avoidable_weight_reload_bytes,1572864000.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
rdt,repeated_head,dispatches_per_replan,105.0,dispatch,derived_requirement,dispatches_per_step x K=5
rdt,repeated_head,required_compute_rate,92498534400.0,MAC/s,derived_requirement,macs_per_replan / deadline
rdt,repeated_head,required_weight_bandwidth,921600000.0,B/s,derived_requirement,naive reload bandwidth if non-resident
rdt,repeated_head,required_activation_bandwidth,279234000.0,B/s,derived_requirement,activation traffic / deadline
rdt,repeated_head,required_command_rate,49.21875,dispatch/s,derived_requirement,host command issue rate to meet deadline
rdt,repeated_head,resident_capacity_bf16,196608000,B,recovered_from_ir,dtype-scaled from captured element count
rdt,repeated_head,resident_capacity_fp8,98304000,B,recovered_from_ir,dtype-scaled from captured element count
rdt,repeated_head,resident_capacity_int8,98304000,B,recovered_from_ir,dtype-scaled from captured element count
rdt,repeated_head,resident_capacity_int4,49152000,B,recovered_from_ir,dtype-scaled from captured element count
rdt,repeated_head,resident_capacity_fp6,73728000,B,recovered_from_ir,dtype-scaled from captured element count
openvla,repeated_head,macs_per_replan,5505024.0,MAC,recovered_from_ir,macs_per_step x K=7
openvla,repeated_head,resident_capacity_required,3145728.0,B,recovered_from_ir,action-head weights (f32); resident set to avoid reloads
openvla,repeated_head,weight_reload_bytes_per_replan,22020096.0,B,recovered_from_ir,naive reload: weight_bytes x K=7
openvla,repeated_head,avoidable_weight_reload_bytes,18874368.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
openvla,repeated_head,dispatches_per_replan,105.0,dispatch,derived_requirement,dispatches_per_step x K=7
openvla,repeated_head,required_compute_rate,3932160.0000000005,MAC/s,derived_requirement,macs_per_replan / deadline
openvla,repeated_head,required_weight_bandwidth,15728640.000000002,B/s,derived_requirement,naive reload bandwidth if non-resident
openvla,repeated_head,required_activation_bandwidth,161280.0,B/s,derived_requirement,activation traffic / deadline
openvla,repeated_head,required_command_rate,75.0,dispatch/s,derived_requirement,host command issue rate to meet deadline
openvla,repeated_head,resident_capacity_bf16,1572864,B,recovered_from_ir,dtype-scaled from captured element count
openvla,repeated_head,resident_capacity_fp8,786432,B,recovered_from_ir,dtype-scaled from captured element count
openvla,repeated_head,resident_capacity_int8,786432,B,recovered_from_ir,dtype-scaled from captured element count
openvla,repeated_head,resident_capacity_int4,393216,B,recovered_from_ir,dtype-scaled from captured element count
openvla,repeated_head,resident_capacity_fp6,589824,B,recovered_from_ir,dtype-scaled from captured element count
tiny_llama,repeated_head,macs_per_replan,1075314688.0,MAC,recovered_from_ir,macs_per_step x K=7
tiny_llama,repeated_head,resident_capacity_required,614465536.0,B,recovered_from_ir,action-head weights (f32); resident set to avoid reloads
tiny_llama,repeated_head,weight_reload_bytes_per_replan,4301258752.0,B,recovered_from_ir,naive reload: weight_bytes x K=7
tiny_llama,repeated_head,avoidable_weight_reload_bytes,3686793216.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
tiny_llama,repeated_head,dispatches_per_replan,105.0,dispatch,derived_requirement,dispatches_per_step x K=7
tiny_llama,repeated_head,required_compute_rate,4608491520.0,MAC/s,derived_requirement,macs_per_replan / deadline
